"instance","item_count","value","time_sec","status"
"ks_100_0","100","99837","11.293174","ok"
"ks_100_1","100","1333930","0.000514","ok"
"ks_100_2","100","10892","0.000543","ok"
"ks_1000_0","1000","109899","0.003077","ok"
"ks_10000_0","10000","","","skipped_n_gt_6000"
"ks_19_0","19","12248","0.000485","ok"
"ks_200_0","200","100236","1.506195","ok"
"ks_200_1","200","1103604","0.001649","ok"
"ks_30_0","30","99798","0.000987","ok"
"ks_300_0","300","1688692","0.006065","ok"
"ks_4_0","4","19","0.000228","ok"
"ks_40_0","40","99924","0.215829","ok"
"ks_400_0","400","3967180","0.00891","ok"
"ks_45_0","45","23974","0.000395","ok"
"ks_50_0","50","142156","0.000408","ok"
"ks_50_1","50","5345","0.000434","ok"
"ks_500_0","500","54939","0.000739","ok"
"ks_60_0","60","99837","0.490689","ok"
