"instance","item_count","value","time_sec","status"
"ks_100_0","100","99837","0.520222","ok"
"ks_100_1","100","1333888","0.600065","ok"
"ks_100_2","100","10892","0.541614","ok"
"ks_1000_0","1000","109890","7.578919","ok"
"ks_10000_0","10000","1099893","240.019779","ok"
"ks_19_0","19","12248","0.105075","ok"
"ks_200_0","200","100236","1.125511","ok"
"ks_200_1","200","1103500","1.18524","ok"
"ks_30_0","30","99798","0.176421","ok"
"ks_300_0","300","1688640","1.727197","ok"
"ks_4_0","4","19","0.036172","ok"
"ks_40_0","40","99924","0.208906","ok"
"ks_400_0","400","3967180","1.96894","ok"
"ks_45_0","45","23974","0.227381","ok"
"ks_50_0","50","142156","0.247837","ok"
"ks_50_1","50","5339","0.260742","ok"
"ks_500_0","500","54930","3.180637","ok"
"ks_60_0","60","99798","0.309755","ok"
