"filename","Cost","TimeSeconds"
"ks_100_0","99837","0.010984"
"ks_100_1","1333635","0.014616"
"ks_100_2","10892","0.015599"
"ks_1000_0","109869","0.241371"
"ks_10000_0","1099870","3.305338"
"ks_19_0","12248","0.002386"
"ks_200_0","100236","0.020845"
"ks_200_1","1103442","0.032668"
"ks_30_0","99798","0.003167"
"ks_300_0","1688584","0.058661"
"ks_4_0","19","0.000693"
"ks_40_0","99924","0.004125"
"ks_400_0","3966813","0.083204"
"ks_45_0","23974","0.005416"
"ks_50_0","141956","0.006251"
"ks_50_1","5333","0.007575"
"ks_500_0","54896","0.108180"
"ks_60_0","99837","0.006005"
