"filename","TourLength","TimeSeconds"
"tsp_100_1","22693.245398","0.000873"
"tsp_100_2","24132.549726","0.000906"
"tsp_100_3","22567.168475","0.000275"
"tsp_100_4","22630.392314","0.000204"
"tsp_100_5","23859.012531","0.000231"
"tsp_100_6","8576.475741","0.000231"
"tsp_1000_1","20532500.876364","0.045248"
"tsp_101_1","681.346711","0.000220"
"tsp_105_1","14902.628886","0.000239"
"tsp_1060_1","246772.763744","0.045935"
"tsp_107_1","47271.047791","0.000423"
"tsp_1084_1","275524.413618","0.038521"
"tsp_1173_1","63332.937621","0.045241"
"tsp_11849_1","1160464.368472","1.620409"
"tsp_124_1","62046.849915","0.000384"
"tsp_127_1","129616.585818","0.000292"
"tsp_1291_1","58949.669902","0.058137"
"tsp_1304_1","293167.171571","0.064014"
"tsp_1323_1","308499.959759","0.078022"
"tsp_136_1","105108.319195","0.000514"
"tsp_1379_1","63425.757145","0.085351"
"tsp_1400_1","22070.006179","0.096185"
"tsp_14051_1","583279.732945","1.586509"
"tsp_1432_1","170530.722717","0.073685"
"tsp_144_1","60490.943068","0.000484"
"tsp_150_1","28723.428884","0.000429"
"tsp_150_2","28458.811370","0.000484"
"tsp_152_1","77677.634054","0.000319"
"tsp_1577_1","25697.561499","0.086547"
"tsp_159_1","45652.685095","0.000645"
"tsp_1655_1","70420.563121","0.113720"
"tsp_1748_1","386572.055885","0.127395"
"tsp_1817_1","67080.591767","0.149391"
"tsp_18512_1","846727.643404","1.520864"
"tsp_1889_1","366285.091762","0.117845"
"tsp_195_1","2599.502666","0.000912"
"tsp_198_1","16703.047232","0.000641"
"tsp_200_1","32254.128445","0.000596"
"tsp_200_2","33111.970716","0.000869"
"tsp_2103_1","97759.719673","0.190789"
"tsp_2152_1","74181.179447","0.200804"
"tsp_225_1","132374.279849","0.000993"
"tsp_226_1","83857.197081","0.001063"
"tsp_2319_1","250479.852586","0.194396"
"tsp_2392_1","435870.166454","0.223480"
"tsp_262_1","2751.467780","0.001553"
"tsp_264_1","57072.359159","0.001324"
"tsp_299_1","54829.260197","0.001994"
"tsp_3038_1","154300.138008","0.440076"
"tsp_318_1","45769.333647","0.001950"
"tsp_318_2","45769.333647","0.001942"
"tsp_33810_1","150308667.942985","1.544197"
"tsp_3795_1","32794.029524","0.627025"
"tsp_400_1","17146.768401","0.002488"
"tsp_417_1","13436.321755","0.003017"
"tsp_439_1","120641.958127","0.003577"
"tsp_442_1","57321.132972","0.004237"
"tsp_4461_1","204823.126351","0.703685"
"tsp_493_1","38500.660057","0.003896"
"tsp_5_1","4.000000","0.000097"
"tsp_51_1","474.314563","0.000197"
"tsp_574_1","41400.778180","0.009208"
"tsp_575_1","7742.084247","0.009235"
"tsp_5915_1","664663.067570","1.592447"
"tsp_5934_1","651425.775081","1.544402"
"tsp_654_1","37559.263129","0.016082"
"tsp_657_1","54831.157892","0.013843"
"tsp_70_1","700.061583","0.000150"
"tsp_724_1","46785.864852","0.020341"
"tsp_7397_1","26885920.386031","1.509567"
"tsp_76_1","589.586354","0.000264"
"tsp_76_2","112615.767349","0.000173"
"tsp_783_1","9948.485220","0.015888"
"tsp_85900_1","539954845.192097","1.545206"
"tsp_9432_1","60907.123001","1.517027"
"tsp_99_1","1385.549528","0.000231"
